,code_pref,code_MIC,type,prefecture_j,prefecture_s,prefecture_en,prefecture_kana,cities,cities_kana,vaccine_pop,政令指定都市
195,,16071.0,市区町村,北海道,,,ホッカイドウ,浦河町,ウラカワチョウ,True,False
196,,16080.0,市区町村,北海道,,,ホッカイドウ,様似町,サマニチョウ,True,False
197,,16098.0,市区町村,北海道,,,ホッカイドウ,えりも町,エリモチョウ,True,False
198,,16101.0,市区町村,北海道,,,ホッカイドウ,新ひだか町,シンヒダカチョウ,True,False
199,,16314.0,市区町村,北海道,,,ホッカイドウ,音更町,オトフケチョウ,True,False
200,,16322.0,市区町村,北海道,,,ホッカイドウ,士幌町,シホロチョウ,True,False
201,,16331.0,市区町村,北海道,,,ホッカイドウ,上士幌町,カミシホロチョウ,True,False
202,,16349.0,市区町村,北海道,,,ホッカイドウ,鹿追町,シカオイチョウ,True,False
203,,16357.0,市区町村,北海道,,,ホッカイドウ,新得町,シントクチョウ,True,False
204,,16365.0,市区町村,北海道,,,ホッカイドウ,清水町,シミズチョウ,True,False
205,,16373.0,市区町村,北海道,,,ホッカイドウ,芽室町,メムロチョウ,True,False
206,,16381.0,市区町村,北海道,,,ホッカイドウ,中札内村,ナカサツナイムラ,True,False
207,,16390.0,市区町村,北海道,,,ホッカイドウ,更別村,サラベツムラ,True,False
208,,16411.0,市区町村,北海道,,,ホッカイドウ,大樹町,タイキチョウ,True,False
209,,16420.0,市区町村,北海道,,,ホッカイドウ,広尾町,ヒロオチョウ,True,False
210,,16438.0,市区町村,北海道,,,ホッカイドウ,幕別町,マクベツチョウ,True,False
211,,16446.0,市区町村,北海道,,,ホッカイドウ,池田町,イケダチョウ,True,False
212,,16454.0,市区町村,北海道,,,ホッカイドウ,豊頃町,トヨコロチョウ,True,False
213,,16462.0,市区町村,北海道,,,ホッカイドウ,本別町,ホンベツチョウ,True,False
214,,16471.0,市区町村,北海道,,,ホッカイドウ,足寄町,アショロチョウ,True,False
215,,16489.0,市区町村,北海道,,,ホッカイドウ,陸別町,リクベツチョウ,True,False
216,,16497.0,市区町村,北海道,,,ホッカイドウ,浦幌町,ウラホロチョウ,True,False
217,,16616.0,市区町村,北海道,,,ホッカイドウ,釧路町,クシロチョウ,True,False
218,,16624.0,市区町村,北海道,,,ホッカイドウ,厚岸町,アッケシチョウ,True,False
219,,16632.0,市区町村,北海道,,,ホッカイドウ,浜中町,ハマナカチョウ,True,False
220,,16641.0,市区町村,北海道,,,ホッカイドウ,標茶町,シベチャチョウ,True,False
221,,16659.0,市区町村,北海道,,,ホッカイドウ,弟子屈町,テシカガチョウ,True,False
222,,16675.0,市区町村,北海道,,,ホッカイドウ,鶴居村,ツルイムラ,True,False
223,,16683.0,市区町村,北海道,,,ホッカイドウ,白糠町,シラヌカチョウ,True,False
224,,16918.0,市区町村,北海道,,,ホッカイドウ,別海町,ベツカイチョウ,True,False
225,,16926.0,市区町村,北海道,,,ホッカイドウ,中標津町,ナカシベツチョウ,True,False
226,,16934.0,市区町村,北海道,,,ホッカイドウ,標津町,シベツチョウ,True,False
227,,16942.0,市区町村,北海道,,,ホッカイドウ,羅臼町,ラウスチョウ,True,False
228,,22012.0,市区町村,青森県,,,アオモリケン,青森市,アオモリシ,True,False
229,,22021.0,市区町村,青森県,,,アオモリケン,弘前市,ヒロサキシ,True,False
230,,22039.0,市区町村,青森県,,,アオモリケン,八戸市,ハチノヘシ,True,False
231,,22047.0,市区町村,青森県,,,アオモリケン,黒石市,クロイシシ,True,False
232,,22055.0,市区町村,青森県,,,アオモリケン,五所川原市,ゴショガワラシ,True,False
233,,22063.0,市区町村,青森県,,,アオモリケン,十和田市,トワダシ,True,False
234,,22071.0,市区町村,青森県,,,アオモリケン,三沢市,ミサワシ,True,False
235,,22080.0,市区町村,青森県,,,アオモリケン,むつ市,ムツシ,True,False
236,,22098.0,市区町村,青森県,,,アオモリケン,つがる市,ツガルシ,True,False
237,,22101.0,市区町村,青森県,,,アオモリケン,平川市,ヒラカワシ,True,False
238,,23019.0,市区町村,青森県,,,アオモリケン,平内町,ヒラナイマチ,True,False
239,,23035.0,市区町村,青森県,,,アオモリケン,今別町,イマベツマチ,True,False
240,,23043.0,市区町村,青森県,,,アオモリケン,蓬田村,ヨモギタムラ,True,False
241,,23078.0,市区町村,青森県,,,アオモリケン,外ヶ浜町,ソトガハママチ,True,False
242,,23213.0,市区町村,青森県,,,アオモリケン,鰺ヶ沢町,アジガサワマチ,True,False
243,,23230.0,市区町村,青森県,,,アオモリケン,深浦町,フカウラマチ,True,False
244,,23434.0,市区町村,青森県,,,アオモリケン,西目屋村,ニシメヤムラ,True,False
245,,23612.0,市区町村,青森県,,,アオモリケン,藤崎町,フジサキマチ,True,False
246,,23621.0,市区町村,青森県,,,アオモリケン,大鰐町,オオワニマチ,True,False
247,,23671.0,市区町村,青森県,,,アオモリケン,田舎館村,イナカダテムラ,True,False
248,,23817.0,市区町村,青森県,,,アオモリケン,板柳町,イタヤナギマチ,True,False
249,,23841.0,市区町村,青森県,,,アオモリケン,鶴田町,ツルタマチ,True,False
250,,23876.0,市区町村,青森県,,,アオモリケン,中泊町,ナカドマリマチ,True,False
251,,24015.0,市区町村,青森県,,,アオモリケン,野辺地町,ノヘジマチ,True,False
252,,24023.0,市区町村,青森県,,,アオモリケン,七戸町,シチノヘマチ,True,False
253,,24058.0,市区町村,青森県,,,アオモリケン,六戸町,ロクノヘマチ,True,False
254,,24066.0,市区町村,青森県,,,アオモリケン,横浜町,ヨコハママチ,True,False
255,,24082.0,市区町村,青森県,,,アオモリケン,東北町,トウホクマチ,True,False
256,,24112.0,市区町村,青森県,,,アオモリケン,六ヶ所村,ロッカショムラ,True,False
257,,24121.0,市区町村,青森県,,,アオモリケン,おいらせ町,オイラセチョウ,True,False
258,,24236.0,市区町村,青森県,,,アオモリケン,大間町,オオママチ,True,False
259,,24244.0,市区町村,青森県,,,アオモリケン,東通村,ヒガシドオリムラ,True,False
260,,24252.0,市区町村,青森県,,,アオモリケン,風間浦村,カザマウラムラ,True,False
261,,24261.0,市区町村,青森県,,,アオモリケン,佐井村,サイムラ,True,False
262,,24414.0,市区町村,青森県,,,アオモリケン,三戸町,サンノヘマチ,True,False
263,,24422.0,市区町村,青森県,,,アオモリケン,五戸町,ゴノヘマチ,True,False
264,,24431.0,市区町村,青森県,,,アオモリケン,田子町,タッコマチ,True,False
265,,24457.0,市区町村,青森県,,,アオモリケン,南部町,ナンブチョウ,True,False
266,,24465.0,市区町村,青森県,,,アオモリケン,階上町,ハシカミチョウ,True,False
267,,24503.0,市区町村,青森県,,,アオモリケン,新郷村,シンゴウムラ,True,False
268,,32018.0,市区町村,岩手県,,,イワテケン,盛岡市,モリオカシ,True,False
269,,32026.0,市区町村,岩手県,,,イワテケン,宮古市,ミヤコシ,True,False
270,,32034.0,市区町村,岩手県,,,イワテケン,大船渡市,オオフナトシ,True,False
271,,32051.0,市区町村,岩手県,,,イワテケン,花巻市,ハナマキシ,True,False
272,,32069.0,市区町村,岩手県,,,イワテケン,北上市,キタカミシ,True,False
273,,32077.0,市区町村,岩手県,,,イワテケン,久慈市,クジシ,True,False
274,,32085.0,市区町村,岩手県,,,イワテケン,遠野市,トオノシ,True,False
275,,32093.0,市区町村,岩手県,,,イワテケン,一関市,イチノセキシ,True,False
276,,32107.0,市区町村,岩手県,,,イワテケン,陸前高田市,リクゼンタカタシ,True,False
277,,32115.0,市区町村,岩手県,,,イワテケン,釜石市,カマイシシ,True,False
278,,32131.0,市区町村,岩手県,,,イワテケン,二戸市,ニノヘシ,True,False
279,,32140.0,市区町村,岩手県,,,イワテケン,八幡平市,ハチマンタイシ,True,False
280,,32158.0,市区町村,岩手県,,,イワテケン,奥州市,オウシュウシ,True,False
281,,32166.0,市区町村,岩手県,,,イワテケン,滝沢市,タキザワシ,True,False
282,,33014.0,市区町村,岩手県,,,イワテケン,雫石町,シズクイシチョウ,True,False
283,,33022.0,市区町村,岩手県,,,イワテケン,葛巻町,クズマキマチ,True,False
284,,33031.0,市区町村,岩手県,,,イワテケン,岩手町,イワテマチ,True,False
285,,33219.0,市区町村,岩手県,,,イワテケン,紫波町,シワチョウ,True,False
286,,33227.0,市区町村,岩手県,,,イワテケン,矢巾町,ヤハバチョウ,True,False
287,,33669.0,市区町村,岩手県,,,イワテケン,西和賀町,ニシワガマチ,True,False
288,,33812.0,市区町村,岩手県,,,イワテケン,金ケ崎町,カネガサキチョウ,True,False
289,,34029.0,市区町村,岩手県,,,イワテケン,平泉町,ヒライズミチョウ,True,False
290,,34410.0,市区町村,岩手県,,,イワテケン,住田町,スミタチョウ,True,False
291,,34614.0,市区町村,岩手県,,,イワテケン,大槌町,オオツチチョウ,True,False
292,,34827.0,市区町村,岩手県,,,イワテケン,山田町,ヤマダマチ,True,False
293,,34835.0,市区町村,岩手県,,,イワテケン,岩泉町,イワイズミチョウ,True,False
294,,34843.0,市区町村,岩手県,,,イワテケン,田野畑村,タノハタムラ,True,False
295,,34851.0,市区町村,岩手県,,,イワテケン,普代村,フダイムラ,True,False
296,,35017.0,市区町村,岩手県,,,イワテケン,軽米町,カルマイマチ,True,False
297,,35033.0,市区町村,岩手県,,,イワテケン,野田村,ノダムラ,True,False
298,,35068.0,市区町村,岩手県,,,イワテケン,九戸村,クノヘムラ,True,False
299,,35076.0,市区町村,岩手県,,,イワテケン,洋野町,ヒロノチョウ,True,False
300,,35246.0,市区町村,岩手県,,,イワテケン,一戸町,イチノヘマチ,True,False
301,,41009.0,市区町村,宮城県,,,ミヤギケン,仙台市,センダイシ,True,True
302,,42021.0,市区町村,宮城県,,,ミヤギケン,石巻市,イシノマキシ,True,False
303,,42030.0,市区町村,宮城県,,,ミヤギケン,塩竈市,シオガマシ,True,False
304,,42056.0,市区町村,宮城県,,,ミヤギケン,気仙沼市,ケセンヌマシ,True,False
